trade_num,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,duration_bars,entry_adx,volume_ratio,tp_level,sl_level,result
66,2025-10-21 22:00:00,109007.1,2025-10-22 07:00:00,107550.72659216753,SL,-1456.3734078324778,-1.3360353663499696,9,26.584991099457362,2.0536343965172237,111434.38901305413,107550.72659216753,LOSS
67,2025-10-22 11:00:00,107484.7,2025-10-22 13:00:00,109266.4032497611,TP,1781.7032497611071,1.6576342956356647,2,22.980789562970074,2.729590697935096,109266.4032497611,106415.67805014334,WIN
68,2025-10-22 14:00:00,108927.0,2025-10-22 15:00:00,107729.35822746535,SL,-1197.6417725346546,-1.099490275629233,1,22.509296289567352,2.753938036248617,110923.0696208911,107729.35822746535,LOSS
69,2025-10-22 16:00:00,108172.1,2025-10-22 21:00:00,106938.90173694717,SL,-1233.1982630528364,-1.140033578947655,5,21.2549639213213,1.1401276961053763,110227.4304384214,106938.90173694717,LOSS
70,2025-10-22 23:00:00,107522.8,2025-10-23 06:00:00,109407.0438318406,TP,1884.2438318405912,1.752413285220057,7,21.940885458416744,0.6049898020319021,109407.0438318406,106392.25370089566,WIN
71,2025-10-23 11:00:00,109208.6,2025-10-23 17:00:00,110742.1010400041,TP,1533.501040004092,1.404194394950665,6,20.70064457899542,0.6878046058433526,110742.1010400041,108288.49937599755,WIN
72,2025-10-23 18:00:00,110525.5,2025-10-23 20:00:00,109475.41072893726,SL,-1050.0892710627377,-0.9500877816094365,2,24.53995461908997,1.285190239820139,112275.64878510455,109475.41072893726,LOSS
73,2025-10-23 22:00:00,109870.0,2025-10-24 04:00:00,111487.1854188716,TP,1617.1854188715952,1.4719080903536863,6,24.285575157200537,0.6788536287957129,111487.1854188716,108899.68874867704,WIN
74,2025-10-24 05:00:00,111213.2,2025-10-24 13:00:00,110352.58004831326,SL,-860.6199516867346,-0.7738469459441276,8,29.959815302198006,0.6193734952009035,112647.56658614456,110352.58004831326,LOSS
75,2025-10-24 14:00:00,110159.7,2025-10-25 07:00:00,111709.7831557925,TP,1550.0831557924976,1.4071236176137896,17,29.24724642438769,3.440502202932897,111709.7831557925,109229.6501065245,WIN
76,2025-10-25 09:00:00,111494.5,2025-10-26 09:00:00,112464.00465696087,TP,969.5046569608676,0.8695537958920552,24,24.063445561384665,0.6773867714502363,112464.00465696087,110912.79720582347,WIN
77,2025-10-26 10:00:00,112441.3,2025-10-26 11:00:00,113162.53312732645,TP,721.2331273264426,0.6414307975151858,1,27.663127893167804,1.3494828405915664,113162.53312732645,112008.56012360414,WIN
78,2025-10-26 12:00:00,113539.7,2025-10-26 21:00:00,113033.07653514846,SL,-506.6234648515383,-0.4462082116224883,9,33.69305819365549,2.8538683599773447,114384.07244141922,113033.07653514846,LOSS
79,2025-10-26 22:00:00,114643.8,2025-10-27 06:00:00,115758.13866787415,TP,1114.3386678741517,0.9720008128430423,8,44.863897793390585,3.9386399875004052,115758.13866787415,113975.19679927551,WIN
80,2025-10-27 07:00:00,115517.8,2025-10-27 09:00:00,114795.7054999248,SL,-722.0945000751963,-0.6250937085671613,2,54.443503529608314,1.5885018381305165,116721.29083345865,114795.7054999248,LOSS
81,2025-10-27 12:00:00,115012.0,2025-10-27 20:00:00,114319.09905043952,SL,-692.9009495604842,-0.6024596994752583,8,51.649005652503156,0.7708693638116462,116166.83491593415,114319.09905043952,LOSS
82,2025-10-27 21:00:00,114234.2,2025-10-28 02:00:00,113515.68741622903,SL,-718.5125837709638,-0.6289820244471129,5,36.10181076008279,1.081296273732966,115431.72097295159,113515.68741622903,LOSS
83,2025-10-28 03:00:00,113859.3,2025-10-28 13:00:00,115040.42074599703,TP,1181.120745997032,1.0373511395178365,10,27.6591285126952,0.6508880987249389,115040.42074599703,113150.62755240178,WIN
84,2025-10-28 14:00:00,115027.9,2025-10-28 19:00:00,114261.66849979969,SL,-766.2315002003015,-0.6661266529253351,5,20.087102975295984,4.52830919532853,116304.95250033383,114261.66849979969,LOSS
85,2025-10-28 20:00:00,112728.9,2025-10-29 15:00:00,111797.16292855624,SL,-931.7370714437566,-0.8265290191279757,19,22.983243080058433,3.955468212724735,114281.79511907292,111797.16292855624,LOSS
86,2025-10-29 16:00:00,111056.0,2025-10-29 18:00:00,110276.70158469921,SL,-779.2984153007856,-0.7017166252168145,2,28.752926023264205,2.8148986715491766,112354.83069216798,110276.70158469921,LOSS
87,2025-10-29 19:00:00,110600.4,2025-10-30 04:00:00,109560.94954139364,SL,-1039.4504586063558,-0.9398252254118031,9,33.38095430887589,1.7856589929258089,112332.81743101058,109560.94954139364,LOSS
88,2025-10-30 05:00:00,110201.3,2025-10-30 12:00:00,108951.25080867416,SL,-1250.0491913258447,-1.1343325272259444,7,45.98254870541399,1.6092641636952236,112284.7153188764,108951.25080867416,LOSS
89,2025-10-30 13:00:00,107560.0,2025-10-30 19:00:00,106368.08939659571,SL,-1191.9106034042925,-1.1081355554149241,6,48.14426976004836,1.8505827228099356,109546.5176723405,106368.08939659571,LOSS
90,2025-10-30 20:00:00,107447.1,2025-10-31 00:00:00,109456.52432434518,TP,2009.4243243451783,1.8701522184825632,4,55.57363631581446,0.7543464039672374,109456.52432434518,106241.4454053929,WIN
91,2025-10-31 01:00:00,109589.9,2025-11-03 03:00:00,108442.06971567751,SL,-1147.830284322481,-1.047386925549235,74,47.51510413657686,0.7868647506209533,111502.9504738708,108442.06971567751,LOSS
92,2025-11-03 04:00:00,107830.1,2025-11-03 06:00:00,107127.54710336006,SL,-702.5528966399434,-0.651536905409476,2,21.5930379577857,2.910840773608826,109001.02149439992,107127.54710336006,LOSS
93,2025-11-03 07:00:00,107413.1,2025-11-03 15:00:00,106691.69290309113,SL,-721.4070969088789,-0.6716192875067183,8,27.19372440423816,1.038222742998858,108615.44516151481,106691.69290309113,LOSS
94,2025-11-03 16:00:00,106635.2,2025-11-04 05:00:00,105586.89100148217,SL,-1048.308998517823,-0.9830796946203723,13,33.195575115305125,2.3308463434441142,108382.38166419638,105586.89100148217,LOSS
